PLAYER,2020/21
Jordan Clarkson,"$11,500,000"
Spencer Dinwiddie,"$11,454,048"
Dillon Brooks,"$11,400,000"
Dwight Powell,"$11,080,125"
Lonzo Ball,"$11,003,782"
Josh Richardson,"$10,865,952"
Norman Powell,"$10,865,952"
Jeremy Lamb,"$10,500,000"
DeAndre Jordan,"$10,375,678"
Joe Ingles,"$10,363,637"
Zion Williamson,"$10,245,480"
Rodney Hood,"$10,047,450"
Deandre Ayton,"$10,018,200"
Tomas Satoransky,"$10,000,000"
Jayson Tatum,"$9,897,120"
Anthony Edwards,"$9,757,440"
Al-Farouq Aminu,"$9,720,900"
Dante Exum,"$9,600,000"
George Hill,"$9,590,602"
De'Anthony Melton,"$9,571,712"
Kyle Anderson,"$9,505,100"
Meyers Leonard,"$9,400,000"
Tristan Thompson,"$9,258,000"
Serge Ibaka,"$9,258,000"
Montrezl Harrell,"$9,258,000"
Jae Crowder,"$9,258,000"
Derrick Jones,"$9,258,000"
Derrick Favors,"$9,258,000"
Dario Saric,"$9,250,000"
Ja Morant,"$9,166,800"
Delon Wright,"$9,000,000"
Marvin Bagley,"$8,963,640"
Cedi Osman,"$8,840,580"
Tyus Jones,"$8,817,143"
James Wiseman,"$8,730,240"
Royce O'Neale,"$8,500,000"
Thomas Bryant,"$8,333,333"
Maxi Kleber,"$8,325,000"
RJ Barrett,"$8,231,760"
Jakob Poeltl,"$8,101,852"
De'Aaron Fox,"$8,099,627"
Luka Doncic,"$8,049,360"
Mason Plumlee,"$8,000,000"
Louis Williams,"$8,000,000"
PJ Tucker,"$7,969,537"
LaMelo Ball,"$7,839,960"
Seth Curry,"$7,834,449"
Derrick Rose,"$7,682,926"
Cristiano Felicio,"$7,529,020"
Rajon Rondo,"$7,500,000"
De'Andre Hunter,"$7,422,000"
Jonathan Isaac,"$7,362,565"
Doug McDermott,"$7,333,333"
Robin Lopez,"$7,300,000"
Jaren Jackson,"$7,257,360"
Nemanja Bjelica,"$7,150,000"
Patrick Williams,"$7,068,360"
Ivica Zubac,"$7,000,000"
Aron Baynes,"$7,000,000"
Darius Miller,"$7,000,000"
Lauri Markkanen,"$6,731,508"
Darius Garland,"$6,720,720"
DJ Augustin,"$6,666,667"
Trae Young,"$6,571,800"
Chris Boucher,"$6,500,000"
Jabari Parker,"$6,500,000"
Juan Hernangomez,"$6,493,000"
Joakim Noah,"$6,431,666"
Isaac Okoro,"$6,400,920"
Frank Ntilikina,"$6,176,578"
DeMarre Carroll,"$6,119,676"
Jarrett Culver,"$6,104,280"
Alec Burks,"$6,000,000"
Ishmael Smith,"$6,000,000"
Mo Bamba,"$5,969,040"
Onyeka Okongwu,"$5,813,640"
Justin Holiday,"$5,720,400"
Dennis Smith,"$5,686,677"
Avery Bradley,"$5,635,000"
Timofey Mozgov,"$5,573,333"
Coby White,"$5,572,680"
Trey Lyles,"$5,500,000"
Wendell Carter,"$5,448,840"
Zach Collins,"$5,406,255"
Malik Monk,"$5,345,687"
Killian Hayes,"$5,307,120"
Luke Kennard,"$5,273,826"
Ryan Anderson,"$5,214,583"
Donovan Mitchell,"$5,195,501"
Rodney McGruder,"$5,192,307"
Bam Adebayo,"$5,115,492"
Jaxson Hayes,"$5,105,160"
Justin Jackson,"$5,029,650"
Ed Davis,"$5,005,350"
Mike Scott,"$5,005,350"
Enes Kanter,"$5,005,350"
Richaun Holmes,"$5,005,350"
Luol Deng,"$5,000,000"
Daniel Theis,"$5,000,000"
Nerlens Noel,"$5,000,000"
Collin Sexton,"$4,991,880"
Pat Connaughton,"$4,938,273"
Obi Toppin,"$4,862,040"
Kevon Looney,"$4,821,429"
Kris Dunn,"$4,767,000"
Josh Jackson,"$4,767,000"
Garrett Temple,"$4,767,000"
Rui Hachimura,"$4,692,840"
Denzel Valentine,"$4,642,800"
Kevin Knox,"$4,588,680"
DJ Wilson,"$4,548,280"
Deni Avdija,"$4,469,160"
Cam Reddish,"$4,458,000"
Mikal Bridges,"$4,359,000"
TJ Leaf,"$4,326,825"
Jalen Smith,"$4,245,720"
Cameron Johnson,"$4,235,160"
JaVale McGee,"$4,200,000"
Reggie Bullock,"$4,200,000"
Shai Gilgeous-Alexander,"$4,141,320"
John Collins,"$4,137,302"
Willie Cauley-Stein,"$4,100,000"
Devin Vassell,"$4,033,440"
PJ Washington,"$4,023,600"
Dorian Finney-Smith,"$4,000,000"
Patrick McCaw,"$4,000,000"
Terrance Ferguson,"$3,944,013"
Miles Bridges,"$3,934,320"
Jevon Carter,"$3,925,000"
Jarrett Allen,"$3,909,902"
Nicolo Melli,"$3,897,436"
OG Anunoby,"$3,872,215"
Tyrese Haliburton,"$3,831,840"
Tyler Herro,"$3,822,240"
Patrick Patterson,"$3,814,771"
Stanley Johnson,"$3,804,150"
Jake Layman,"$3,761,085"
Jerome Robinson,"$3,737,520"
Danuel House,"$3,717,000"
Kira Lewis,"$3,640,200"
Romeo Langford,"$3,631,200"
Bobby Portis,"$3,623,000"
Wesley Matthews,"$3,623,000"
Moe Harkless,"$3,623,000"
Wayne Ellington,"$3,564,753"
Kyle Kuzma,"$3,562,178"
Michael Porter,"$3,550,800"
Tony Bradley,"$3,542,060"
Derrick White,"$3,516,284"
Austin Rivers,"$3,500,000"
Bismack Biyombo,"$3,500,000"
Boban Marjanovic,"$3,500,000"
TJ McConnell,"$3,500,000"
Josh Hart,"$3,491,159"
Aaron Nesmith,"$3,458,400"
Sekou Doumbouya,"$3,449,400"
Troy Brown,"$3,372,840"
Michael Carter-Williams,"$3,300,000"
James Ennis,"$3,300,000"
Cole Anthony,"$3,285,120"
Facundo Campazzo,"$3,200,000"
Jon Leuer,"$3,169,348"
Isaiah Stewart,"$3,121,080"
Chuma Okeke,"$3,121,080"
Nickeil Alexander-Walker,"$3,113,160"
Donte DiVincenzo,"$3,044,160"
Trey Burke,"$3,000,000"
Ryan Arcidiacono,"$3,000,000"
Khem Birch,"$3,000,000"
Aleksej Pokusevski,"$2,964,840"
Goga Bitadze,"$2,957,520"
Lonnie Walker,"$2,895,720"
Dewayne Dedmon,"$2,866,667"
Andrew Nicholson,"$2,844,429"
Luka Samanic,"$2,824,320"
Josh Green,"$2,816,760"
Kevin Huerter,"$2,761,920"
Alex Caruso,"$2,750,000"
Marko Guduric,"$2,750,000"
Matisse Thybulle,"$2,711,280"
Saddiq Bey,"$2,689,920"
Josh Okogie,"$2,651,040"
Quinn Cook,"$2,620,564"
Vincent Poirier,"$2,619,207"
Brandon Clarke,"$2,602,920"
Precious Achiuwa,"$2,582,160"
Marc Gasol,"$2,564,753"
Jeff Teague,"$2,564,753"
Jeff Green,"$2,564,753"
Jose Juan Barea,"$2,564,753"
Gerald Green,"$2,564,753"
Jared Dudley,"$2,564,753"
Udonis Haslem,"$2,564,753"
Dwight Howard,"$2,564,753"
Carmelo Anthony,"$2,564,753"
Grayson Allen,"$2,545,320"
Grant Williams,"$2,498,760"
Tyrese Maxey,"$2,478,840"
Chandler Hutchison,"$2,443,440"
Tyler Zeller,"$2,436,046"
Darius Bazley,"$2,399,160"
Zeke Nnaji,"$2,379,840"
Aaron Holiday,"$2,345,640"
Bryn Forbes,"$2,337,145"
DeMarcus Cousins,"$2,331,593"
Reggie Jackson,"$2,331,593"
Markieff Morris,"$2,331,593"
E'Twaun Moore,"$2,331,593"
Kent Bazemore,"$2,320,044"
Michael Kidd-Gilchrist,"$2,320,044"
Hassan Whiteside,"$2,320,044"
Ty Jerome,"$2,303,040"
Ben McLemore,"$2,283,034"
Mike Muscala,"$2,283,034"
Alex Len,"$2,258,000"
Anfernee Simons,"$2,252,040"
Luke Kornet,"$2,250,000"
Brad Wanamaker,"$2,250,000"
Monta Ellis,"$2,245,400"
Nassir Little,"$2,210,640"
RJ Hampton,"$2,193,480"
Solomon Hill,"$2,174,318"
Matthew Dellavedova,"$2,174,318"
Moritz Wagner,"$2,161,920"
Edmond Sumner,"$2,160,000"
Dylan Windler,"$2,137,440"
Immanuel Quickley,"$2,105,520"
John Konchar,"$2,100,000"
Landry Shamet,"$2,090,040"
Mfiondu Kabengele,"$2,075,880"
Jordan Poole,"$2,063,280"
Bol Bol,"$2,058,240"
Keldon Johnson,"$2,048,040"
Payton Pritchard,"$2,035,800"
Robert Williams,"$2,029,920"
Bruno Caboclo,"$2,028,594"
Tyler Johnson,"$2,028,594"
Noah Vonleh,"$2,028,594"
Langston Galloway,"$2,028,594"
Jacob Evans,"$2,017,320"
Spencer Hawes,"$2,007,058"
Dzanan Musa,"$2,002,800"
Gary Clark,"$2,000,000"
Damyean Dotson,"$2,000,000"
Theo Maledon,"$2,000,000"
Kenrich Williams,"$2,000,000"
Omari Spellman,"$1,988,280"
Mario Hezonja,"$1,977,011"
Udoka Azubuike,"$1,977,000"
Jaden McDaniels,"$1,964,760"
Malachi Flynn,"$1,950,600"
Desmond Bane,"$1,936,440"
Anderson Varejao,"$1,913,345"
Jontay Porter,"$1,900,000"
Jerian Grant,"$1,882,867"
Justin Anderson,"$1,882,867"
Jahlil Okafor,"$1,882,867"
JaKarr Sampson,"$1,882,867"
Rondae Hollis-Jefferson,"$1,882,867"
Frank Kaminsky,"$1,882,867"
Raul Neto,"$1,882,867"
Larry Sanders,"$1,865,546"
Timothe Luwawu,"$1,824,003"
Marquese Chriss,"$1,824,003"
David Nwaba,"$1,824,003"
Rayjon Tucker,"$1,785,697"
Georges Niang,"$1,783,557"
Rodions Kurucs,"$1,780,152"
Damion Lee,"$1,762,796"
Alfonzo McKinnie,"$1,762,796"
Furkan Korkmaz,"$1,762,796"
Semi Ojeleye,"$1,752,950"
Abdel Nader,"$1,752,950"
Damian Jones,"$1,737,145"
DeAndre Bembry,"$1,737,145"
Henry Ellenson,"$1,737,145"
Thon Maker,"$1,737,145"
Willy Hernangomez,"$1,737,145"
Monte Morris,"$1,723,707"
Kevin Porter,"$1,717,981"
Shake Milton,"$1,701,593"
Brandon Goodwin,"$1,701,593"
Thanasis Antetokounmpo,"$1,701,593"
Dwayne Bacon,"$1,678,854"
Wesley Iwundu,"$1,678,854"
Sterling Brown,"$1,678,854"
Naz Long,"$1,678,854"
Torrey Craig,"$1,678,854"
Johnathan Motley,"$1,678,854"
Bruce Brown,"$1,663,861"
Devonte Graham,"$1,663,861"
Jalen Brunson,"$1,663,861"
Sviatoslav Mykhailiuk,"$1,663,861"
Kendrick Nunn,"$1,663,861"
Duncan Robinson,"$1,663,861"
Jarred Vanderbilt,"$1,663,861"
Mitchell Robinson,"$1,663,861"
Hamidou Diallo,"$1,663,861"
Gary Trent Jr,"$1,663,861"
Isaac Bonga,"$1,663,861"
Isaiah Hartenstein,"$1,620,564"
Wenyen Gabriel,"$1,620,564"
Drew Eubanks,"$1,620,564"
Chris Chiozza,"$1,620,564"
Axel Toupane,"$1,620,564"
Treveon Graham,"$1,620,564"
Justin Patton,"$1,620,564"
Nik Stauskas,"$1,620,564"
Ike Anigbogu,"$1,620,564"
Sindarius Thornwell,"$1,620,564"
Jarrod Uthoff,"$1,620,564"
Melvin Frazier,"$1,620,564"
Josh Gray,"$1,620,564"
Ryan Broekhoff,"$1,620,564"
Derrick Walton,"$1,620,564"
Harry Giles,"$1,620,564"
Chimezie Metu,"$1,620,564"
Alize Johnson,"$1,620,564"
Yuta Watanabe,"$1,620,564"
Shaquille Harrison,"$1,524,305"
Bruno Fernando,"$1,517,981"
Carsen Edwards,"$1,517,981"
Nicolas Claxton,"$1,517,981"
Cody Martin,"$1,517,981"
Caleb Martin,"$1,517,981"
Jalen McDaniels,"$1,517,981"
Daniel Gafford,"$1,517,981"
Vlatko Cancar,"$1,517,981"
Eric Paschall,"$1,517,981"
Alen Smailagic,"$1,517,981"
Juan Toscano-Anderson,"$1,517,981"
Jalen Lecque,"$1,517,981"
KZ Okpala,"$1,517,981"
Jaylen Nowell,"$1,517,981"
Naz Reid,"$1,517,981"
Isaiah Roby,"$1,517,981"
Admiral Schofield,"$1,517,981"
Justin James,"$1,517,981"
Matt Thomas,"$1,517,981"
Nigel Williams-Goss,"$1,517,981"
Anzejs Pasecniks,"$1,517,981"
Javonte Green,"$1,517,981"
Chris Clemons,"$1,517,981"
Terance Mann,"$1,517,981"
Talen Horton-Tucker,"$1,517,981"
Chris Silva,"$1,517,981"
Ignas Brazdeikis,"$1,517,981"
Luguentz Dort,"$1,517,981"
Terence Davis,"$1,517,981"
Juwan Morgan,"$1,517,981"
Robert Woodard,"$1,500,000"
JR Smith,"$1,456,667"
Zach Norvell,"$1,445,697"
Marques Bolden,"$1,445,697"
Levi Randolph,"$1,445,697"
Jae'Sean Tate,"$1,445,697"
Kelan Martin,"$1,445,697"
Ky Bowman,"$1,445,697"
Max Strus,"$1,445,697"
Charlie Brown,"$1,445,697"
Tyler Cook,"$1,445,697"
Zylan Cheatham,"$1,445,697"
Robert Franks,"$1,445,697"
DaQuan Jeffries,"$1,445,697"
Cam Reynolds,"$1,445,697"
Vernon Carey,"$1,350,000"
Xavier Tillman,"$1,300,000"
Tyrell Terry,"$1,289,846"
Deonte Burton,"$1,170,000"
Zhaire Smith,"$1,068,200"
